time_sec,spectral_centroid_hz,spectral_bandwidth_hz,spectral_flatness,spectral_rolloff_hz,spectral_peakiness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms_env,wheeze_candidate
30.72,237.8021193510972,136.0586943316742,0.006139852664722805,351.5625,0.0739287392859007,-154.42168375612,19.99059419733576,-5.53350788686471,-7.44268640903696,-3.530661642030478,-4.353270153610315,-6.62793708225904,-5.080201068058951,-3.4638306969499735,-1.8576824358191182,-1.4852067350399203,-2.072951628859996,-2.2702597696513496,0.00936391537210771,0
30.848,213.63087468302484,117.53853673432145,0.006007665894020326,300.78125,0.07460213133737705,-159.5579247433056,18.440360108591864,-2.9736858229986662,-6.36036579591981,-3.6002466015407855,-3.955435593465835,-4.665648281402804,-3.7752469408408116,-3.7312529790450464,-3.383569837651551,-2.0633995771229623,-0.8540832386922954,-0.8833875249852976,0.006614420602896393,0
30.976,210.50129931773714,110.15806355840861,0.01032231742735156,285.15625,0.09996292932546125,-162.2513597984188,15.938766909329356,-1.2393155443949366,-4.713112543536561,-5.081332423244756,-4.905069636314829,-4.881147280129799,-3.9631457950903233,-3.5010120740407533,-2.158395978836846,-0.9318359609752447,-0.6429648726406445,-0.8739207006602108,0.00578776225447655,0
31.104,168.9353874433387,91.8028413994535,0.008388978668045678,210.9375,0.09852913716083178,-167.53007169818693,13.743779417772357,1.9809753333617914,-1.8652359543761161,-4.344752576604766,-4.951909905341537,-4.387424669875211,-3.970305006177888,-3.7296343512100503,-2.6788537520236266,-2.0953431830283713,-1.6089268520638633,-0.9145898549874065,0.005536137947014403,0
31.232,167.06817009524465,81.01963647974753,0.005636028626320624,207.03125,0.10695161905621788,-165.08090283374287,16.254885256608617,2.645316353485525,-2.3498219622801173,-4.737296989313178,-5.149098281225598,-4.409373328454253,-4.030081218322907,-4.1007435526361125,-2.721846528921705,-1.8086464515860583,-1.850124854261689,-1.6683950106281522,0.00483193538550822,0
31.36,209.7588122560425,110.70716879780497,0.009767009478500153,316.40625,0.035266611460033334,-165.10014147723652,15.066150410235867,-0.19267603601101008,-4.759848283824542,-5.748488089703148,-4.971560330538269,-3.4398948382498844,-3.194442822125387,-3.6895119976724136,-2.4138290844281602,-1.4412560173856495,-1.5626694017488447,-1.397132031758497,0.004262320996661271,0
31.488,197.35371302366448,114.72941651498911,0.012026765354250445,269.53125,0.08297040523062289,-167.50205651697405,13.693208753646294,0.4380197991490563,-4.066998385323517,-4.41771944575365,-4.266154339571969,-3.950242542681119,-3.4298996703602382,-3.744735935865802,-2.7775549481451325,-1.3167382977737279,-0.6081180626719043,-0.9378162391862548,0.005441869941673104,0
31.616,166.3860320289862,78.01715926026186,0.005031538591714769,230.46875,0.11584821643983957,-164.7748358392529,16.31902751023286,2.668656635292895,-2.069690547890339,-4.75121875228597,-5.825107588769194,-5.287412255993875,-3.902063035680185,-3.1209171355875993,-2.2315978791017805,-1.6816859171676284,-1.699324812289153,-1.8683288538784844,0.004748908736343915,0
31.744,193.0288375420603,115.2127853633248,0.011616062214664484,281.25,0.0920511009188715,-168.07212233534347,13.410912503937936,0.9430777948048075,-3.5158488094983658,-4.616146975796399,-4.552516841085046,-4.024203570478584,-3.07028167500655,-2.391405773255304,-1.8453518711665216,-1.8227207230473272,-2.070126144058033,-2.1916829096795527,0.0035254947774644445,0
31.872,192.33167317107777,104.21175396562826,0.010528882094087711,242.1875,0.06630302069769761,-167.89935534400718,13.670821761277711,1.1087826754995165,-3.058447426318793,-4.077812899517863,-5.067124755661018,-4.968150844719958,-3.639884617720834,-2.4748807025143265,-1.6262924281555438,-1.8096683048106927,-1.8233172611653807,-1.1487083766211768,0.0051328754518181205,0
