Time(s),Amplitude
3.111750000,0.000094124
3.111812500,0.001341896
3.111875000,0.001788253
3.111937500,0.001444372
3.112000000,0.000564746
3.112062500,-0.000500281
3.112125000,-0.001400824
3.112187500,-0.001955544
3.112250000,-0.002164861
3.112312500,-0.002178203
3.112375000,-0.002137956
3.112437500,-0.002139418
3.112500000,-0.002164861
3.112562500,-0.002112285
3.112625000,-0.001805099
3.112687500,-0.001129445
3.112750000,-0.000094124
3.112812500,0.001129203
3.112875000,0.002291250
3.112937500,0.003110718
3.113000000,0.003388479
3.113062500,0.003067387
3.113125000,0.002296508
3.113187500,0.001337993
3.113250000,0.000470622
3.113312500,-0.000144855
3.113375000,-0.000454394
3.113437500,-0.000563846
3.113500000,-0.000658871
3.113562500,-0.000938482
3.113625000,-0.001435540
3.113687500,-0.002043306
3.113750000,-0.002541359
3.113812500,-0.002721906
3.113875000,-0.002371045
3.113937500,-0.001409498
3.114000000,0.000094124
3.114062500,0.001908250
3.114125000,0.003804724
3.114187500,0.005569215
3.114250000,0.007059331
3.114312500,0.008173788
3.114375000,0.008977818
3.114437500,0.009574421
3.114500000,0.010071312
3.114562500,0.010487065
3.114625000,0.010870297
3.114687500,0.011211794
3.114750000,0.011483178
3.114812500,0.011609981
3.114875000,0.011616597
3.114937500,0.011533483
3.115000000,0.011389053
3.115062500,0.011141744
3.115125000,0.010820866
3.115187500,0.010465614
3.115250000,0.010165436
3.115312500,0.010013367
3.115375000,0.010208704
3.115437500,0.010902164
3.115500000,0.012142048
3.115562500,0.013788099
3.115625000,0.015679982
3.115687500,0.017619152
3.115750000,0.019483753
3.115812500,0.021234604
3.115875000,0.023020355
3.115937500,0.024993422
3.116000000,0.027201954
3.116062500,0.029466122
3.116125000,0.031514190
3.116187500,0.033022635
3.116250000,0.033790659
3.116312500,0.033822238
3.116375000,0.033445049
3.116437500,0.033132825
3.116500000,0.033320040
3.116562500,0.034178481
3.116625000,0.035625264
3.116687500,0.037308279
3.116750000,0.038779255
3.116812500,0.039655127
3.116875000,0.039847229
3.116937500,0.039509956
3.117000000,0.038967505
3.117062500,0.038536496
3.117125000,0.038452700
3.117187500,0.038738791
3.117250000,0.039249878
3.117312500,0.039747361
3.117375000,0.040064499
3.117437500,0.040112041
3.117500000,0.039908748
3.117562500,0.039531760
3.117625000,0.039108325
3.117687500,0.038719513
3.117750000,0.038402759
3.117812500,0.038147714
3.117875000,0.037956573
3.117937500,0.037803166
3.118000000,0.037649762
3.118062500,0.037437167
3.118125000,0.037133027
3.118187500,0.036701664
3.118250000,0.036143772
3.118312500,0.035494987
3.118375000,0.034854669
3.118437500,0.034282729
3.118500000,0.033790659
3.118562500,0.033318531
3.118625000,0.032809082
3.118687500,0.032166287
3.118750000,0.031343430
3.118812500,0.030356638
3.118875000,0.029334852
3.118937500,0.028348088
3.119000000,0.027390203
3.119062500,0.026342817
3.119125000,0.025079167
3.119187500,0.023437941
3.119250000,0.021366240
3.119312500,0.018964622
3.119375000,0.016549086
3.119437500,0.014423255
3.119500000,0.012800919
3.119562500,0.011695925
3.119625000,0.010997588
3.119687500,0.010419784
3.119750000,0.009694814
3.119812500,0.008682985
3.119875000,0.007530604
3.119937500,0.006469177
3.120000000,0.005741589
3.120062500,0.005434238
3.120125000,0.005546758
3.120187500,0.005844393
3.120250000,0.006023962
3.120312500,0.005808579
3.120375000,0.005189257
3.120437500,0.004258358
3.120500000,0.003200230
3.120562500,0.002146852
3.120625000,0.001263451
3.120687500,0.000543261
3.120750000,-0.000094124
3.120812500,-0.000777673
3.120875000,-0.001459316
3.120937500,-0.002079769
3.121000000,-0.002541359
3.121062500,-0.002806026
3.121125000,-0.002793700
3.121187500,-0.002567935
3.121250000,-0.002258986
3.121312500,-0.002051369
3.121375000,-0.001983367
3.121437500,-0.002071245
3.121500000,-0.002258986
3.121562500,-0.002488882
3.121625000,-0.002607841
3.121687500,-0.002558537
3.121750000,-0.002353110
3.121812500,-0.002095389
3.121875000,-0.001808275
3.121937500,-0.001507939
3.122000000,-0.001129493
3.122062500,-0.000562192
3.122125000,0.000412313
3.122187500,0.001941523
3.122250000,0.004047350
3.122312500,0.006554576
3.122375000,0.009204279
3.122437500,0.011660532
3.122500000,0.013648040
3.122562500,0.015029777
3.122625000,0.015904019
3.122687500,0.016508741
3.122750000,0.017130643
3.122812500,0.017963707
3.122875000,0.019093497
3.122937500,0.020424010
3.123000000,0.021742739
3.123062500,0.022793412
3.123125000,0.023412870
3.123187500,0.023544233
3.123250000,0.023248728
3.123312500,0.022655314
3.123375000,0.021940427
3.123437500,0.021256357
3.123500000,0.020707369
3.123562500,0.020338273
3.123625000,0.020160653
3.123687500,0.020164825
3.123750000,0.020330872
3.123812500,0.020624876
3.123875000,0.021010337
3.123937500,0.021436289
3.124000000,0.021836862
3.124062500,0.022137122
3.124125000,0.022289807
3.124187500,0.022295795
3.124250000,0.022213360
3.124312500,0.022138724
3.124375000,0.022154056
3.124437500,0.022273844
3.124500000,0.022401609
3.124562500,0.022343704
3.124625000,0.021864457
3.124687500,0.020808857
3.124750000,0.019201379
3.124812500,0.017290303
3.124875000,0.015469359
3.124937500,0.014140914
3.125000000,0.013553915
3.125062500,0.013696575
3.125125000,0.014298387
3.125187500,0.014919922
3.125250000,0.015154029
3.125312500,0.014795924
3.125375000,0.013925343
3.125437500,0.012807859
3.125500000,0.011765551
3.125562500,0.011016164
3.125625000,0.010592134
3.125687500,0.010304056
3.125750000,0.009883063
3.125812500,0.009131959
3.125875000,0.008070338
3.125937500,0.006877356
3.126000000,0.005835713
3.126062500,0.005190636
3.126125000,0.005077695
3.126187500,0.005406526
3.126250000,0.005929837
3.126312500,0.006330602
3.126375000,0.006403825
3.126437500,0.006041429
3.126500000,0.005270967
3.126562500,0.004188379
